layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
conv1,conv,0,64,1,False,27.0,0,32.0,32.0,160000,72.64758986322025,1.6101248655747502,0.025158201024605472,2.5260494595887613,0.039469522806074395,1.278731623438556,0.019980181616227437,13.726310477849612,10,64,0.9259258186173641,46,4,5,8,12,0.0625,0.078125,0.125,0.1875,2500.0,64.0,10000.0,20.221455202822646,1.2857065555264144,0.020089164930100226,1.563362769315173,0.02442754327054958,1.1411512012928402,0.017830487520200628,8.273721754403546,10.0,64.0,0.9667082464849812,42.0,2.0,2.0,3.0,4.0,0.03125,0.03125,0.046875,0.0625,156.25,10,76.49
layer1.0.conv1,conv,1,64,1,False,64.0,0,32.0,32.0,160000,12.703967614229452,6.291548749236478,0.09830544920681997,9.06058597971194,0.14157165593299906,3.6197907602627866,0.05655923062910604,5.48728136781057,10,64,0.8850458341908641,64,8,11,20,35,0.125,0.171875,0.3125,0.546875,2500.0,64.0,10000.0,1.7069673996307524,2.862450530664339,0.0447257895416303,4.188355972964612,0.06544306207757206,1.8489830162489684,0.028890359628890132,6.092046170866774,10.0,64.0,0.8978460410481006,64.0,4.0,5.0,10.0,20.0,0.0625,0.078125,0.15625,0.3125,156.25,10,76.49
layer1.0.conv2,conv,2,64,1,False,64.0,0,32.0,32.0,160000,34.172365842736376,9.286033873799562,0.14509427927811816,14.79892374038933,0.2312331834435833,5.076105619244875,0.07931415030070117,2.3510619737202596,10,64,0.992003278731929,64,14,22,44,61,0.21875,0.34375,0.6875,0.953125,2500.0,64.0,10000.0,3.5981231081903022,3.001630159691216,0.04690047124517525,4.449299625712547,0.06952030665175854,1.9451567830091403,0.030393074734517817,4.0768233540524275,10.0,64.0,0.9693951677522594,64.0,4.0,6.0,13.0,29.0,0.0625,0.09375,0.203125,0.453125,156.25,10,76.49
layer1.0.conv3,conv,3,256,1,False,64.0,0,32.0,32.0,160000,14.05033914940108,7.759597540238419,0.030310927891556323,14.168752401377379,0.055346689067880386,3.646367412780279,0.014243622706172965,10.739263066628737,10,256,0.8046246669707606,159,16,26,47,61,0.0625,0.1015625,0.18359375,0.23828125,625.0,256.0,10000.0,1.0144628749986015,3.34978270034085,0.013085088673206445,5.5568821676608104,0.02170657096742504,2.0338072763746067,0.007944559673338307,9.755273610141439,10.0,256.0,0.8507192993389618,161.0,6.0,8.0,20.0,45.0,0.0234375,0.03125,0.078125,0.17578125,39.0625,10,76.49
layer1.0.downsample.0,conv,4,256,1,False,64.0,0,32.0,32.0,160000,18.521268568231466,4.579721698222103,0.01788953788368009,7.505176329567907,0.029317095037374636,2.471101042037254,0.009652738445458024,9.657174162012836,10,256,0.8691317634890477,159,8,10,21,41,0.03125,0.0390625,0.08203125,0.16015625,625.0,256.0,10000.0,3.724109484064102,2.3247493201739307,0.009081052031929417,3.3356454309876016,0.013029864964795319,1.616083503658069,0.006312826186164332,8.143068980389842,10.0,256.0,0.9157019505743083,160.0,3.0,4.0,8.0,18.0,0.01171875,0.015625,0.03125,0.0703125,39.0625,10,76.49
layer1.0,block,5,256,1,False,,0,32.0,32.0,160000,76.88374613409214,12.633242357048267,0.049348602957219795,28.391482045009383,0.1109042267383179,5.419260967190017,0.021168988153086005,1.723230681987784,10,256,0.9979740816146282,256,38,74,177,244,0.1484375,0.2890625,0.69140625,0.953125,625.0,256.0,10000.0,8.80357477744448,3.841053977094105,0.015004117098023847,6.4928313416220185,0.02536262242821101,2.2386231752711465,0.008744621778402916,2.493809753021794,10.0,256.0,0.9987687898276064,256.0,6.0,11.0,30.0,117.0,0.0234375,0.04296875,0.1171875,0.45703125,39.0625,10,76.49
layer1.1.conv1,conv,6,64,1,False,64.0,0,32.0,32.0,160000,149.00284849799843,5.911871885477131,0.09237299821058018,11.47630553673703,0.1793172740115161,2.8628368536431954,0.04473182583817493,2.2339625766479996,10,64,0.983416197640968,64,14,22,44,60,0.21875,0.34375,0.6875,0.9375,2500.0,64.0,10000.0,10.762054418185485,4.091540138891822,0.06393031467018472,6.165474730820039,0.0963355426690631,2.5764229376219383,0.040256608400342786,3.2118532233816968,10.0,64.0,0.9914107118905993,64.0,6.0,9.0,20.0,44.0,0.09375,0.140625,0.3125,0.6875,156.25,10,76.49
layer1.1.conv2,conv,7,64,1,False,64.0,0,32.0,32.0,160000,35.808950050660364,10.288790958225137,0.16076235872226777,16.753763565928054,0.26177755571762584,5.125894490781111,0.08009210141845485,2.0883443816262166,10,64,0.9958130146179014,64,17,26,49,62,0.265625,0.40625,0.765625,0.96875,2500.0,64.0,10000.0,1.491591605745602,4.339332303639778,0.06780206724437153,6.385031820521906,0.09976612219565478,2.863735813253474,0.04474587208208553,3.7229194446197242,10.0,64.0,0.9657362855046047,64.0,6.0,9.0,19.0,39.0,0.09375,0.140625,0.296875,0.609375,156.25,10,76.49
layer1.1.conv3,conv,8,256,1,False,64.0,0,32.0,32.0,160000,15.18125116324781,9.821103361137991,0.03836368500444528,17.17487747463161,0.06708936513527973,4.879988489230671,0.01906245503605731,11.05500775666857,10,256,0.8030434349733572,158,19,30,50,62,0.07421875,0.1171875,0.1953125,0.2421875,625.0,256.0,10000.0,0.5778810838431904,4.937510516386165,0.019287150454633455,7.568355373693329,0.029563888178489567,3.1084706705347576,0.012142463556776397,10.006190190131719,10.0,256.0,0.8399304216007376,161.0,7.0,11.0,25.0,50.0,0.02734375,0.04296875,0.09765625,0.1953125,39.0625,10,76.49
layer1.1,block,9,256,1,False,,0,32.0,32.0,160000,130.6667104227821,15.56156384643412,0.060787358775133284,35.8404241309729,0.14000165676161289,6.148094052410911,0.02401599239223012,1.5908058024230578,10,256,0.9981870069562919,256,52,96,197,249,0.203125,0.375,0.76953125,0.97265625,625.0,256.0,10000.0,9.65313235660619,5.071046530597137,0.019808775510145066,8.453435458482234,0.03302123225969623,2.897568957664631,0.011318628740877464,2.3963627554472016,10.0,256.0,0.9988187413089724,256.0,8.0,14.0,41.0,147.0,0.03125,0.0546875,0.16015625,0.57421875,39.0625,10,76.49
