layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
conv1,conv,0,64,1,False,27.0,0,32.0,32.0,160000,9.594924681822782,4.744479291810195,0.0741324889345343,5.845272932375528,0.09133238956836763,3.0772531309976356,0.04808208017183806,18.050797604148702,10,64,0.9674023005329413,39,5,6,9,12,0.078125,0.09375,0.140625,0.1875,2500.0,64.0,10000.0,1.9669623367782987,2.5584915035899165,0.039976429743592445,2.8259713320486695,0.04415580206326046,1.9239342862933924,0.030061473223334256,11.873578985173129,10.0,64.0,0.9393438688620255,36.0,3.0,3.0,3.0,5.0,0.046875,0.046875,0.046875,0.078125,156.25,100,95.07
layer1.0.conv1,conv,1,64,1,False,64.0,0,32.0,32.0,160000,1.017396034193356,10.345410180995376,0.16164703407805275,15.366245618434647,0.24009758778804136,4.559404316280922,0.07124069244188941,5.057153466412451,10,64,0.9391437223310602,64,14,18,28,43,0.21875,0.28125,0.4375,0.671875,2500.0,64.0,10000.0,0.10150981412549569,4.193086072293803,0.06551696987959067,5.280623391169018,0.08250974048701591,3.0483035298722885,0.04762974265425451,6.436254158219089,10.0,64.0,0.9816909246061996,64.0,4.0,6.0,10.0,18.0,0.0625,0.09375,0.15625,0.28125,156.25,100,95.07
layer1.0.conv2,conv,2,64,1,False,64.0,0,32.0,32.0,160000,1.0460679521488019,12.39347881736476,0.1936481065213244,17.40143633472951,0.2718974427301486,6.130793407573023,0.09579364699332849,3.745549649164958,10,64,0.9780722959873861,64,15,20,33,53,0.234375,0.3125,0.515625,0.828125,2500.0,64.0,10000.0,0.048283089498365996,2.7483667701093335,0.042943230782958336,4.7996327234981235,0.07499426130465818,1.7315246059804636,0.027055071968444745,4.900806090912731,10.0,64.0,0.9585934691615539,64.0,5.0,8.0,15.0,29.0,0.078125,0.125,0.234375,0.453125,156.25,100,95.07
layer1.0,block,3,64,1,False,,0,32.0,32.0,160000,1.7470892609144215,10.92439851077108,0.17069372673079813,20.243074159319697,0.31629803373937027,4.209547545014816,0.0657741803908565,2.5874125172737386,10,64,0.8361560205520897,64,22,31,49,59,0.34375,0.484375,0.765625,0.921875,2500.0,64.0,10000.0,0.07591021545628926,5.928996994842269,0.09264057804441045,9.391456697005232,0.14674151089070675,3.262462621865562,0.050975978466649405,3.3467516656287457,10.0,64.0,0.8937007074026011,64.0,9.0,14.0,30.0,51.0,0.140625,0.21875,0.46875,0.796875,156.25,100,95.07
layer1.1.conv1,conv,4,64,1,False,64.0,0,32.0,32.0,160000,6.461634010140845,7.563113630664104,0.11817365047912662,11.807510746206523,0.18449235540947692,3.771937752905752,0.05893652738915237,3.6835561801114296,10,64,0.9683052940348038,64,11,15,30,48,0.171875,0.234375,0.46875,0.75,2500.0,64.0,10000.0,0.05998398391052101,3.052796882402106,0.047699951287532905,5.646721702044326,0.0882300265944426,1.8410058723246452,0.02876571675507258,4.877387731209736,10.0,64.0,0.9585129088501537,64.0,7.0,10.0,19.0,33.0,0.109375,0.15625,0.296875,0.515625,156.25,100,95.07
layer1.1.conv2,conv,5,64,1,False,64.0,0,32.0,32.0,160000,0.8873759897253353,11.438522199874988,0.1787269093730467,18.210268254855684,0.28453544148212007,5.334734236514269,0.08335522244553545,3.1055162901608475,10,64,0.9585362443621228,64,18,25,41,58,0.28125,0.390625,0.640625,0.90625,2500.0,64.0,10000.0,0.056011434967851007,2.730598213391439,0.04266559708424123,4.050735706147191,0.06329274540854986,1.827704747358958,0.02855788667748372,5.036868120679394,10.0,64.0,0.9637752159004531,64.0,4.0,5.0,11.0,23.0,0.0625,0.078125,0.171875,0.359375,156.25,100,95.07
layer1.1,block,6,64,1,False,,0,32.0,32.0,160000,2.0421233426374585,25.74678914531476,0.40229358039554314,36.76672439971842,0.5744800687456003,10.859781066352879,0.16968407916176373,1.605707239935617,10,64,0.979399130306742,64,36,46,59,64,0.5625,0.71875,0.921875,1.0,2500.0,64.0,10000.0,0.135826508061204,6.745177884738955,0.10539340444904617,11.184559975131814,0.1747587496114346,3.2210750196000824,0.05032929718125129,2.740613092751488,10.0,64.0,0.9869112795546244,64.0,10.0,15.0,34.0,56.0,0.15625,0.234375,0.53125,0.875,156.25,100,95.07
layer2.0.conv1,conv,7,128,1,False,128.0,0,16.0,16.0,160000,6.110484331545761,18.694419076698924,0.14605014903671035,26.78745433084817,0.20927698695975133,8.946309241809141,0.06989304095163391,3.2597519316225276,10,128,0.9793493964479909,128,23,32,58,100,0.1796875,0.25,0.453125,0.78125,1250.0,128.0,10000.0,0.5116507249815427,5.73514587783028,0.04480582717054906,8.780455887520251,0.06859731162125196,2.932185469121976,0.022907698977515437,4.367444844465329,10.0,128.0,0.985875663913037,128.0,8.0,11.0,19.0,41.0,0.0625,0.0859375,0.1484375,0.3203125,78.125,100,95.07
layer2.0.conv2,conv,8,128,1,False,128.0,0,16.0,16.0,160000,1.7053423849084148,28.89865775173823,0.22577076368545493,43.654751290957805,0.34105274446060785,12.087411470979312,0.09443290211702587,2.3174308470226,10,128,0.9626681180291272,128,40,57,93,121,0.3125,0.4453125,0.7265625,0.9453125,1250.0,128.0,10000.0,0.11191032479945828,7.812081595059662,0.06103188746140361,12.54260583891473,0.09798910811652133,3.721896649576429,0.029077317574815853,3.552223344790859,10.0,128.0,0.9818568744253767,128.0,12.0,16.0,34.0,73.0,0.09375,0.125,0.265625,0.5703125,78.125,100,95.07
layer2.0.downsample.0,conv,9,128,1,False,64.0,0,16.0,16.0,160000,0.7189993013508331,9.195521686731453,0.07184001317758948,14.392498628301611,0.11244139553360634,4.907590015697273,0.03834054699763494,11.15174720942241,10,128,0.7092502619274046,96,14,19,33,52,0.109375,0.1484375,0.2578125,0.40625,1250.0,128.0,10000.0,0.08142354569211989,4.51193917181507,0.03524952477980523,6.896457856935919,0.05387857700731187,2.5018904591907245,0.019546019212427535,10.09624060075385,10.0,128.0,0.7583164259181777,95.0,7.0,9.0,14.0,31.0,0.0546875,0.0703125,0.109375,0.2421875,78.125,100,95.07
layer2.0,block,10,128,1,False,,0,16.0,16.0,160000,2.93382837046017,37.38506545956853,0.29207082390287914,64.51821507629496,0.5040485552835544,12.192864128549665,0.09525675100429426,1.2441574388192704,10,128,0.9832942704894179,128,74,95,119,127,0.578125,0.7421875,0.9296875,0.9921875,1250.0,128.0,10000.0,0.19326554297959941,9.580158634437229,0.07484498933154085,17.992369349412538,0.14056538554228545,4.1589778764001215,0.03249201465937595,2.033010565583051,10.0,128.0,0.994257849760942,128.0,18.0,33.0,80.0,120.0,0.140625,0.2578125,0.625,0.9375,78.125,100,95.07
layer2.1.conv1,conv,11,128,1,False,128.0,0,16.0,16.0,160000,4.174852610552758,23.65586021791959,0.1848114079524968,39.03663766983289,0.30497373179556947,10.067354540164303,0.07865120734503361,2.296491426397497,10,128,0.9492287946585514,128,39,55,91,121,0.3046875,0.4296875,0.7109375,0.9453125,1250.0,128.0,10000.0,0.17347333906967483,8.022660279146459,0.06267703343083171,13.417174743965953,0.10482167768723401,4.027371962023695,0.03146384345331012,3.2601439888508947,10.0,128.0,0.9662063651777413,128.0,13.0,20.0,44.0,86.0,0.1015625,0.15625,0.34375,0.671875,78.125,100,95.07
layer2.1.conv2,conv,12,128,1,False,128.0,0,16.0,16.0,160000,0.3040633447631412,13.533175225573716,0.10572793144979466,34.2925872154975,0.2679108376210742,4.241920303356153,0.033140002369969945,2.042308149566749,10,128,0.9534365852988267,128,43,60,98,123,0.3359375,0.46875,0.765625,0.9609375,1250.0,128.0,10000.0,0.015327456322250042,3.119084657025796,0.02436784888301403,7.791055983861455,0.060867624873917614,1.8156186951097335,0.014184521055544793,3.266525322760432,10.0,128.0,0.9517252937589661,128.0,13.0,21.0,45.0,85.0,0.1015625,0.1640625,0.3515625,0.6640625,78.125,100,95.07
layer2.1,block,13,128,1,False,,0,16.0,16.0,160000,3.0626641987946344,54.095150872272434,0.4226183661896284,80.74506249989764,0.6308208007804503,17.801316753255385,0.1390727871348077,1.0827323449669106,10,128,0.9828065415242732,128,84,103,122,128,0.65625,0.8046875,0.953125,1.0,1250.0,128.0,10000.0,0.16862005277029202,12.543275092392646,0.09799433665931755,24.27310451370931,0.18963362901335398,5.086112265575803,0.03973525207481096,1.9191643393032451,10.0,128.0,0.9975338876260251,128.0,27.0,46.0,94.0,123.0,0.2109375,0.359375,0.734375,0.9609375,78.125,100,95.07
layer3.0.conv1,conv,14,256,1,False,256.0,0,8.0,8.0,160000,8.766848394420654,32.20238742792968,0.1257905758903503,52.886068658267845,0.20658620569635877,13.445431930812997,0.05252121847973827,2.4164479792185376,10,256,0.9725854903480847,256,50,74,146,228,0.1953125,0.2890625,0.5703125,0.890625,625.0,256.0,10000.0,0.8064102106670469,10.30789291433095,0.04026520669660527,17.51555276355607,0.0684201279826409,4.500820907430998,0.017581331669652336,3.0896186858877552,10.0,256.0,0.9892195356621983,256.0,17.0,25.0,55.0,140.0,0.06640625,0.09765625,0.21484375,0.546875,39.0625,100,95.07
layer3.0.conv2,conv,15,256,1,False,256.0,0,8.0,8.0,160000,3.1808353383686976,51.1029187271384,0.19962077627788438,84.54668599665987,0.33026049217445264,16.49225970146982,0.06442288945886648,1.9254405391299,10,256,0.954136354849206,256,84,120,196,246,0.328125,0.46875,0.765625,0.9609375,625.0,256.0,10000.0,0.2807511110637608,13.022995584074822,0.050871076500292274,22.755176722029905,0.08888740907042932,5.865552636610457,0.022912314986759597,2.7951393720842383,10.0,256.0,0.9839812328290889,256.0,22.0,35.0,82.0,179.0,0.0859375,0.13671875,0.3203125,0.69921875,39.0625,100,95.07
layer3.0.downsample.0,conv,16,256,1,False,128.0,0,8.0,8.0,160000,0.6778468284494656,18.177928899842765,0.0710075347650108,31.3795826595354,0.12257649476381016,7.675275275582452,0.029981544045243953,9.001324184795193,10,256,0.6127399271694716,189,32,47,82,115,0.125,0.18359375,0.3203125,0.44921875,625.0,256.0,10000.0,0.062121396882157905,7.138502887496015,0.02788477690428131,12.896222681150764,0.05037586984824517,3.457467254201644,0.013505731461725172,8.496726521366032,10.0,256.0,0.6605199070671297,191.0,13.0,20.0,48.0,95.0,0.05078125,0.078125,0.1875,0.37109375,39.0625,100,95.07
