layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
conv1,conv,0,64,1,False,27.0,0,32.0,32.0,160000,7.082692930713971,1.5315736615065196,0.02393083846103937,2.3517611809936345,0.03674626845302554,1.2455745456452256,0.01946210227570665,14.443152960780704,10,64,0.8828218856907891,46,3,4,8,16,0.046875,0.0625,0.125,0.25,2500.0,64.0,10000.0,1.9811090129197197,1.2694941320296207,0.019835845812962823,1.519546053226237,0.023742907081659954,1.1342785341858486,0.017723102096653884,7.8110796214823885,10.0,64.0,0.9337258694631264,45.0,2.0,2.0,3.0,4.0,0.03125,0.03125,0.046875,0.0625,156.25,0,10.0
layer1.0.conv1,conv,1,64,1,False,64.0,0,32.0,32.0,160000,5.224094100840059,2.664656857260216,0.041635263394690876,5.676879159661574,0.0887012368697121,1.7032789987194905,0.02661373435499204,2.074874308818775,10,64,0.9823038142521112,64,9,17,39,59,0.140625,0.265625,0.609375,0.921875,2500.0,64.0,10000.0,1.3766822856127279,1.7647221723942432,0.02757378394366005,2.4266661250892865,0.0379166582045201,1.3706611831134037,0.021416580986146933,3.925011286609059,10.0,64.0,0.9803919461043936,64.0,2.0,3.0,6.0,14.0,0.03125,0.046875,0.09375,0.21875,156.25,0,10.0
layer1.0.conv2,conv,2,64,1,False,64.0,0,32.0,32.0,160000,4.691234648983568,3.6300233369749195,0.05671911464023312,7.474727804205445,0.11679262194071008,2.2378463814946166,0.034966349710853384,1.6905194806078137,10,64,0.9834619864245868,64,12,23,47,62,0.1875,0.359375,0.734375,0.96875,2500.0,64.0,10000.0,1.1273264352575711,2.125423097545471,0.03320973589914798,2.6444782188791844,0.04131997216998726,1.6796250071936958,0.026244140737401497,3.88306227220622,10.0,64.0,0.9645485585156321,64.0,2.0,3.0,7.0,20.0,0.03125,0.046875,0.109375,0.3125,156.25,0,10.0
layer1.0,block,3,64,1,False,,0,32.0,32.0,160000,3.952755349286476,3.308488372028818,0.05169513081295028,6.629230557441558,0.10358172746002435,2.1115119827107867,0.03299237472985604,2.3835588843835396,10,64,0.6255851228368494,64,10,20,43,58,0.15625,0.3125,0.671875,0.90625,2500.0,64.0,10000.0,1.0105601936496333,2.1715724274321446,0.03393081917862726,2.794816510405545,0.04366900797508664,1.6743417284589066,0.026161589507170416,3.4061679922544768,10.0,64.0,0.7701105274969696,64.0,2.0,3.0,7.0,23.0,0.03125,0.046875,0.109375,0.359375,156.25,0,10.0
layer1.1.conv1,conv,4,64,1,False,64.0,0,32.0,32.0,160000,7.631836142708226,4.130884207871603,0.06454506574799379,8.776390633501482,0.13713110364846065,2.40344682214574,0.03755385659602719,1.66306796093433,10,64,0.9889285746103881,64,14,25,49,62,0.21875,0.390625,0.765625,0.96875,2500.0,64.0,10000.0,1.783299048653875,2.1866523968736846,0.03416644370115132,2.8449808756460175,0.044452826181969024,1.6693198814363523,0.026083123147443005,3.790215328080707,10.0,64.0,0.9688635851822541,64.0,2.0,3.0,7.0,21.0,0.03125,0.046875,0.109375,0.328125,156.25,0,10.0
layer1.1.conv2,conv,5,64,1,False,64.0,0,32.0,32.0,160000,7.0673579259583885,4.6782497059603765,0.07309765165563088,10.633335616353001,0.16614586900551565,2.4444243251878985,0.038194130081060915,1.6248747019636542,10,64,0.979098317201243,64,17,29,52,63,0.265625,0.453125,0.8125,0.984375,2500.0,64.0,10000.0,1.4970633389409622,2.1691830534772847,0.03389348521058257,2.8976908857519454,0.04527642008987415,1.6311417772035375,0.025486590268805273,4.011140654889265,10.0,64.0,0.9559808150739973,64.0,3.0,3.0,8.0,24.0,0.046875,0.046875,0.125,0.375,156.25,0,10.0
layer1.1,block,6,64,1,False,,0,32.0,32.0,160000,6.117603265000656,4.326365877337473,0.06759946683339801,9.654195956446575,0.15084681181947773,2.420475878089497,0.03781993559514839,2.384504250600602,10,64,0.5946457419225023,64,17,27,47,58,0.265625,0.421875,0.734375,0.90625,2500.0,64.0,10000.0,1.4093134431540224,2.233948248727399,0.03490544138636561,2.98866641318712,0.04669791270604875,1.685827061936447,0.026341047842756985,3.3934506817450663,10.0,64.0,0.7760772237822424,64.0,3.0,4.0,9.0,29.0,0.046875,0.0625,0.140625,0.453125,156.25,0,10.0
layer2.0.conv1,conv,7,128,1,False,128.0,0,16.0,16.0,160000,10.755918866958227,5.807252145518275,0.04536915738686152,15.110238877486527,0.11804874123036349,2.774670215326592,0.021677111057239,1.6969437397907108,10,128,0.9789380020929557,128,27,48,95,123,0.2109375,0.375,0.7421875,0.9609375,1250.0,128.0,10000.0,2.1509387608923443,2.3574309150689245,0.018417429023975973,3.3160799200784634,0.025906874375612995,1.7220541638077638,0.013453548154748154,2.982600640632938,10.0,128.0,0.9853101858897633,128.0,3.0,4.0,12.0,42.0,0.0234375,0.03125,0.09375,0.328125,78.125,0,10.0
layer2.0.conv2,conv,8,128,1,False,128.0,0,16.0,16.0,160000,8.803934764489268,7.508581518950053,0.05866079311679729,20.82174387873764,0.1626698740526378,3.133825040106958,0.02448300812583561,1.42862928027417,10,128,0.9861471702493831,128,39,65,107,126,0.3046875,0.5078125,0.8359375,0.984375,1250.0,128.0,10000.0,1.5190000809622588,2.2711126335390186,0.017743067449523583,3.3917373109220565,0.026497947741578567,1.6234656916733718,0.012683325716198218,2.9936343602559847,10.0,128.0,0.9719605504902318,128.0,3.0,5.0,14.0,49.0,0.0234375,0.0390625,0.109375,0.3828125,78.125,0,10.0
layer2.0.downsample.0,conv,9,128,1,False,64.0,0,16.0,16.0,160000,11.477773595002867,4.679952044828414,0.036562125350221984,9.674122668678976,0.0755790833490545,2.71823213118359,0.0212361885248718,10.97172073562554,10,128,0.6725984863172971,95,15,23,42,56,0.1171875,0.1796875,0.328125,0.4375,1250.0,128.0,10000.0,2.6498856874783527,2.3864408421389434,0.018644069079210495,3.1539334150611964,0.024640104805165597,1.853781152958499,0.014482665257488274,9.390507155263418,10.0,128.0,0.7400885299523472,97.0,3.0,4.0,10.0,30.0,0.0234375,0.03125,0.078125,0.234375,78.125,0,10.0
