layer,C,r_max,k_0.9,k_0.95,k_0.99,k_0.999
conv1,64,64.0,7,10,19,32
layer1.0.conv1,64,64.0,7,10,16,27
layer1.0.conv2,64,64.0,8,13,22,39
layer1.0.conv3,256,64.0,1,1,10,22
layer1.0.downsample.0,256,64.0,2,6,17,33
layer1.1.conv1,64,64.0,11,16,28,48
layer1.1.conv2,64,64.0,27,33,48,61
layer1.1.conv3,256,64.0,24,30,43,58
layer1.2.conv1,64,64.0,20,27,42,59
layer1.2.conv2,64,64.0,30,38,54,63
layer1.2.conv3,256,64.0,25,32,48,61
layer2.0.conv1,128,128.0,25,34,61,101
layer2.0.conv2,128,128.0,50,65,99,123
layer2.0.conv3,512,128.0,38,51,83,117
layer2.0.downsample.0,512,256.0,34,48,94,169
layer2.1.conv1,128,128.0,16,25,55,96
layer2.1.conv2,128,128.0,35,47,81,117
layer2.1.conv3,512,128.0,39,53,86,117
layer2.2.conv1,128,128.0,31,44,79,115
layer2.2.conv2,128,128.0,44,59,95,123
layer2.2.conv3,512,128.0,45,61,95,121
layer2.3.conv1,128,128.0,44,61,98,123
layer2.3.conv2,128,128.0,54,73,107,125
layer2.3.conv3,512,128.0,44,61,95,121
layer3.0.conv1,256,256.0,60,88,158,228
layer3.0.conv2,256,256.0,86,118,193,246
layer3.0.conv3,1024,256.0,67,91,160,232
layer3.0.downsample.0,1024,512.0,85,132,270,432
layer3.1.conv1,256,256.0,47,66,123,208
layer3.1.conv2,256,256.0,79,111,187,243
layer3.1.conv3,1024,256.0,80,116,191,244
layer3.2.conv1,256,256.0,49,73,142,224
layer3.2.conv2,256,256.0,81,118,196,246
layer3.2.conv3,1024,256.0,84,120,194,245
layer3.3.conv1,256,256.0,73,107,184,242
layer3.3.conv2,256,256.0,95,135,210,249
layer3.3.conv3,1024,256.0,93,131,204,248
layer3.4.conv1,256,256.0,95,133,206,248
layer3.4.conv2,256,256.0,103,143,215,250
layer3.4.conv3,1024,256.0,99,136,208,249
layer3.5.conv1,256,256.0,98,140,213,250
layer3.5.conv2,256,256.0,98,136,210,249
layer3.5.conv3,1024,256.0,91,126,200,247
layer4.0.conv1,512,512.0,181,254,394,488
layer4.0.conv2,512,512.0,183,258,410,497
layer4.0.conv3,2048,512.0,245,322,447,503
layer4.0.downsample.0,2048,1024.0,338,484,768,968
layer4.1.conv1,512,512.0,191,266,411,496
layer4.1.conv2,512,512.0,176,253,406,496
layer4.1.conv3,2048,512.0,274,349,457,504
layer4.2.conv1,512,512.0,212,291,428,499
layer4.2.conv2,512,512.0,161,230,377,487
layer4.2.conv3,2048,512.0,244,317,438,501
